SpatialDimValueCode,Period,FactValueNumeric,indicator,value
TUN,2016,2.98,Expected Years of Schooling (years),14.406
TUN,2016,2.98,Gross National Income Per Capita (2017 PPP$),10517.636
TUN,2016,2.98,Human Development Index (value),0.728
TUN,2016,2.98,Life Expectancy at Birth (years),75.786
TUN,2016,2.98,Mean Years of Schooling (years),7.197
TUN,2017,3.01,Expected Years of Schooling (years),14.459
TUN,2017,3.01,Gross National Income Per Capita (2017 PPP$),10618.967
TUN,2017,3.01,Human Development Index (value),0.732
TUN,2017,3.01,Life Expectancy at Birth (years),75.845
TUN,2017,3.01,Mean Years of Schooling (years),7.41
TUN,2018,3.09,Expected Years of Schooling (years),14.512
TUN,2018,3.09,Gross National Income Per Capita (2017 PPP$),10775.334
TUN,2018,3.09,Human Development Index (value),0.737
TUN,2018,3.09,Life Expectancy at Birth (years),75.95
TUN,2018,3.09,Mean Years of Schooling (years),7.623
TUN,2019,3.18,Expected Years of Schooling (years),14.566
TUN,2019,3.18,Gross National Income Per Capita (2017 PPP$),10821.415
TUN,2019,3.18,Human Development Index (value),0.74
TUN,2019,3.18,Life Expectancy at Birth (years),75.993
TUN,2019,3.18,Mean Years of Schooling (years),7.786
TUR,2000,4.21,Expected Years of Schooling (years),11.133
TUR,2000,4.21,Gross National Income Per Capita (2017 PPP$),15619.346
TUR,2000,4.21,Human Development Index (value),0.669
TUR,2000,4.21,Life Expectancy at Birth (years),71.861
TUR,2000,4.21,Mean Years of Schooling (years),5.449
TUR,2001,3.87,Expected Years of Schooling (years),11.734
TUR,2001,3.87,Gross National Income Per Capita (2017 PPP$),14227.839
TUR,2001,3.87,Human Development Index (value),0.675
TUR,2001,3.87,Life Expectancy at Birth (years),72.231
TUR,2001,3.87,Mean Years of Schooling (years),5.551
TUR,2002,3.43,Expected Years of Schooling (years),12.107
TUR,2002,3.43,Gross National Income Per Capita (2017 PPP$),14903.615
TUR,2002,3.43,Human Development Index (value),0.685
TUR,2002,3.43,Life Expectancy at Birth (years),72.579
TUR,2002,3.43,Mean Years of Schooling (years),5.653
TUR,2003,3.3,Expected Years of Schooling (years),12.227
TUR,2003,3.3,Gross National Income Per Capita (2017 PPP$),15489.014
TUR,2003,3.3,Human Development Index (value),0.691
TUR,2003,3.3,Life Expectancy at Birth (years),72.89
TUR,2003,3.3,Mean Years of Schooling (years),5.756
TUR,2004,3.16,Expected Years of Schooling (years),12.107
TUR,2004,3.16,Gross National Income Per Capita (2017 PPP$),16788.317
TUR,2004,3.16,Human Development Index (value),0.696
TUR,2004,3.16,Life Expectancy at Birth (years),73.24
TUR,2004,3.16,Mean Years of Schooling (years),5.858
TUR,2005,2.96,Expected Years of Schooling (years),12.031
TUR,2005,2.96,Gross National Income Per Capita (2017 PPP$),17991.482
TUR,2005,2.96,Human Development Index (value),0.701
TUR,2005,2.96,Life Expectancy at Birth (years),73.534
TUR,2005,2.96,Mean Years of Schooling (years),5.974
TUR,2006,2.79,Expected Years of Schooling (years),12.452
TUR,2006,2.79,Gross National Income Per Capita (2017 PPP$),18989.617
TUR,2006,2.79,Human Development Index (value),0.711
TUR,2006,2.79,Life Expectancy at Birth (years),73.845
TUR,2006,2.79,Mean Years of Schooling (years),6.061
TUR,2007,2.6,Expected Years of Schooling (years),12.702
TUR,2007,2.6,Gross National Income Per Capita (2017 PPP$),19634.085
TUR,2007,2.6,Human Development Index (value),0.718
TUR,2007,2.6,Life Expectancy at Birth (years),74.193
TUR,2007,2.6,Mean Years of Schooling (years),6.142
TUR,2008,2.47,Expected Years of Schooling (years),12.54
TUR,2008,2.47,Gross National Income Per Capita (2017 PPP$),19518.37
TUR,2008,2.47,Human Development Index (value),0.721
TUR,2008,2.47,Life Expectancy at Birth (years),74.45
TUR,2008,2.47,Mean Years of Schooling (years),6.396
TUR,2009,2.47,Expected Years of Schooling (years),13.055
TUR,2009,2.47,Gross National Income Per Capita (2017 PPP$),18317.234
TUR,2009,2.47,Human Development Index (value),0.728
TUR,2009,2.47,Life Expectancy at Birth (years),74.765
TUR,2009,2.47,Mean Years of Schooling (years),6.57
TUR,2010,2.47,Expected Years of Schooling (years),13.95
TUR,2010,2.47,Gross National Income Per Capita (2017 PPP$),19681.249
TUR,2010,2.47,Human Development Index (value),0.75
TUR,2010,2.47,Life Expectancy at Birth (years),75.069
TUR,2010,2.47,Mean Years of Schooling (years),7.092
TUR,2011,2.28,Expected Years of Schooling (years),14.5
TUR,2011,2.28,Gross National Income Per Capita (2017 PPP$),21574.875
TUR,2011,2.28,Human Development Index (value),0.763
TUR,2011,2.28,Life Expectancy at Birth (years),74.941
TUR,2011,2.28,Mean Years of Schooling (years),7.359
TUR,2012,2.24,Expected Years of Schooling (years),14.673
TUR,2012,2.24,Gross National Income Per Capita (2017 PPP$),22298.171
TUR,2012,2.24,Human Development Index (value),0.772
TUR,2012,2.24,Life Expectancy at Birth (years),75.678
TUR,2012,2.24,Mean Years of Schooling (years),7.487
TUR,2013,2.27,Expected Years of Schooling (years),16.796
TUR,2013,2.27,Gross National Income Per Capita (2017 PPP$),23743.997
TUR,2013,2.27,Human Development Index (value),0.802
TUR,2013,2.27,Life Expectancy at Birth (years),76.297
TUR,2013,2.27,Mean Years of Schooling (years),7.632
TUR,2014,2.3,Expected Years of Schooling (years),17.317
TUR,2014,2.3,Gross National Income Per Capita (2017 PPP$),24492.911
TUR,2014,2.3,Human Development Index (value),0.812
TUR,2014,2.3,Life Expectancy at Birth (years),76.565
TUR,2014,2.3,Mean Years of Schooling (years),7.795
TUR,2015,2.26,Expected Years of Schooling (years),17.788
TUR,2015,2.26,Gross National Income Per Capita (2017 PPP$),25415.686
TUR,2015,2.26,Human Development Index (value),0.821
TUR,2015,2.26,Life Expectancy at Birth (years),76.646
TUR,2015,2.26,Mean Years of Schooling (years),7.958
TUR,2016,2.26,Expected Years of Schooling (years),18.275
TUR,2016,2.26,Gross National Income Per Capita (2017 PPP$),25785.76
TUR,2016,2.26,Human Development Index (value),0.826
TUR,2016,2.26,Life Expectancy at Birth (years),76.66
TUR,2016,2.26,Mean Years of Schooling (years),8.1
TUR,2017,2.26,Expected Years of Schooling (years),18.673
TUR,2017,2.26,Gross National Income Per Capita (2017 PPP$),27238.35
TUR,2017,2.26,Human Development Index (value),0.833
TUR,2017,2.26,Life Expectancy at Birth (years),77.141
TUR,2017,2.26,Mean Years of Schooling (years),8.268
TUR,2018,2.25,Expected Years of Schooling (years),18.975
TUR,2018,2.25,Gross National Income Per Capita (2017 PPP$),28001.27
TUR,2018,2.25,Human Development Index (value),0.838
TUR,2018,2.25,Life Expectancy at Birth (years),77.563
TUR,2018,2.25,Mean Years of Schooling (years),8.451
TUR,2019,2.34,Expected Years of Schooling (years),19.185
TUR,2019,2.34,Gross National Income Per Capita (2017 PPP$),27950.466
TUR,2019,2.34,Human Development Index (value),0.842
TUR,2019,2.34,Life Expectancy at Birth (years),77.832
TUR,2019,2.34,Mean Years of Schooling (years),8.633
TZA,2000,15.56,Expected Years of Schooling (years),6.309
TZA,2000,15.56,Gross National Income Per Capita (2017 PPP$),1357.884
TZA,2000,15.56,Human Development Index (value),0.396
TZA,2000,15.56,Life Expectancy at Birth (years),52.362
TZA,2000,15.56,Mean Years of Schooling (years),4.226
TZA,2001,14.21,Expected Years of Schooling (years),6.614
TZA,2001,14.21,Gross National Income Per Capita (2017 PPP$),1381.584
TZA,2001,14.21,Human Development Index (value),0.404
TZA,2001,14.21,Life Expectancy at Birth (years),53.161
TZA,2001,14.21,Mean Years of Schooling (years),4.261
TZA,2002,12.79,Expected Years of Schooling (years),6.919
TZA,2002,12.79,Gross National Income Per Capita (2017 PPP$),1466.364
TZA,2002,12.79,Human Development Index (value),0.414
TZA,2002,12.79,Life Expectancy at Birth (years),53.863
TZA,2002,12.79,Mean Years of Schooling (years),4.296
TZA,2003,11.89,Expected Years of Schooling (years),7.224
TZA,2003,11.89,Gross National Income Per Capita (2017 PPP$),1515.097
TZA,2003,11.89,Human Development Index (value),0.425
TZA,2003,11.89,Life Expectancy at Birth (years),54.895
TZA,2003,11.89,Mean Years of Schooling (years),4.412
TZA,2004,10.87,Expected Years of Schooling (years),7.529
TZA,2004,10.87,Gross National Income Per Capita (2017 PPP$),1584.675
TZA,2004,10.87,Human Development Index (value),0.435
TZA,2004,10.87,Life Expectancy at Birth (years),55.596
TZA,2004,10.87,Mean Years of Schooling (years),4.527
TZA,2005,10.3,Expected Years of Schooling (years),7.834
TZA,2005,10.3,Gross National Income Per Capita (2017 PPP$),1647.08
TZA,2005,10.3,Human Development Index (value),0.445
TZA,2005,10.3,Life Expectancy at Birth (years),56.299
TZA,2005,10.3,Mean Years of Schooling (years),4.642
TZA,2006,10.26,Expected Years of Schooling (years),8.139
TZA,2006,10.26,Gross National Income Per Capita (2017 PPP$),1736.138
TZA,2006,10.26,Human Development Index (value),0.455
TZA,2006,10.26,Life Expectancy at Birth (years),56.911
TZA,2006,10.26,Mean Years of Schooling (years),4.758
TZA,2007,10.43,Expected Years of Schooling (years),8.444
TZA,2007,10.43,Gross National Income Per Capita (2017 PPP$),1781.281
TZA,2007,10.43,Human Development Index (value),0.464
TZA,2007,10.43,Life Expectancy at Birth (years),57.52
TZA,2007,10.43,Mean Years of Schooling (years),4.873
TZA,2008,11.03,Expected Years of Schooling (years),8.749
TZA,2008,11.03,Gross National Income Per Capita (2017 PPP$),1835.037
TZA,2008,11.03,Human Development Index (value),0.472
TZA,2008,11.03,Life Expectancy at Birth (years),58.086
TZA,2008,11.03,Mean Years of Schooling (years),4.988
TZA,2009,10.57,Expected Years of Schooling (years),9.054
TZA,2009,10.57,Gross National Income Per Capita (2017 PPP$),1886.389
TZA,2009,10.57,Human Development Index (value),0.482
TZA,2009,10.57,Life Expectancy at Birth (years),58.894
TZA,2009,10.57,Mean Years of Schooling (years),5.104
TZA,2010,9.81,Expected Years of Schooling (years),9.359
TZA,2010,9.81,Gross National Income Per Capita (2017 PPP$),1937.365
TZA,2010,9.81,Human Development Index (value),0.493
TZA,2010,9.81,Life Expectancy at Birth (years),60.105
TZA,2010,9.81,Mean Years of Schooling (years),5.219
TZA,2011,9.32,Expected Years of Schooling (years),9.071
TZA,2011,9.32,Gross National Income Per Capita (2017 PPP$),2026.584
TZA,2011,9.32,Human Development Index (value),0.498
TZA,2011,9.32,Life Expectancy at Birth (years),61.049
TZA,2011,9.32,Mean Years of Schooling (years),5.334
TZA,2012,8.45,Expected Years of Schooling (years),8.783
TZA,2012,8.45,Gross National Income Per Capita (2017 PPP$),2066.581
TZA,2012,8.45,Human Development Index (value),0.501
TZA,2012,8.45,Life Expectancy at Birth (years),62.03
TZA,2012,8.45,Mean Years of Schooling (years),5.449
TZA,2013,8.64,Expected Years of Schooling (years),8.495
TZA,2013,8.64,Gross National Income Per Capita (2017 PPP$),2138.683
TZA,2013,8.64,Human Development Index (value),0.504
TZA,2013,8.64,Life Expectancy at Birth (years),62.96
TZA,2013,8.64,Mean Years of Schooling (years),5.464
TZA,2014,8.25,Expected Years of Schooling (years),8.207
TZA,2014,8.25,Gross National Income Per Capita (2017 PPP$),2222.774
TZA,2014,8.25,Human Development Index (value),0.506
TZA,2014,8.25,Life Expectancy at Birth (years),63.873
TZA,2014,8.25,Mean Years of Schooling (years),5.479
TZA,2015,8.23,Expected Years of Schooling (years),7.919
TZA,2015,8.23,Gross National Income Per Capita (2017 PPP$),2270.724
TZA,2015,8.23,Human Development Index (value),0.507
TZA,2015,8.23,Life Expectancy at Birth (years),64.651
TZA,2015,8.23,Mean Years of Schooling (years),5.494
TZA,2016,8.32,Expected Years of Schooling (years),7.667
TZA,2016,8.32,Gross National Income Per Capita (2017 PPP$),2333.903
TZA,2016,8.32,Human Development Index (value),0.509
TZA,2016,8.32,Life Expectancy at Birth (years),65.386
TZA,2016,8.32,Mean Years of Schooling (years),5.525
TZA,2017,8.15,Expected Years of Schooling (years),7.961
TZA,2017,8.15,Gross National Income Per Capita (2017 PPP$),2414.466
TZA,2017,8.15,Human Development Index (value),0.517
TZA,2017,8.15,Life Expectancy at Birth (years),65.999
TZA,2017,8.15,Mean Years of Schooling (years),5.557
TZA,2018,8.04,Expected Years of Schooling (years),8.331
TZA,2018,8.04,Gross National Income Per Capita (2017 PPP$),2483.645
TZA,2018,8.04,Human Development Index (value),0.525
TZA,2018,8.04,Life Expectancy at Birth (years),66.535
TZA,2018,8.04,Mean Years of Schooling (years),5.589
TZA,2019,8.15,Expected Years of Schooling (years),8.701
TZA,2019,8.15,Gross National Income Per Capita (2017 PPP$),2537.39
TZA,2019,8.15,Human Development Index (value),0.533
TZA,2019,8.15,Life Expectancy at Birth (years),66.989
TZA,2019,8.15,Mean Years of Schooling (years),5.615
UGA,2000,21.65,Expected Years of Schooling (years),8.41
UGA,2000,21.65,Gross National Income Per Capita (2017 PPP$),1220.294
UGA,2000,21.65,Human Development Index (value),0.392
UGA,2000,21.65,Life Expectancy at Birth (years),48.342
UGA,2000,21.65,Mean Years of Schooling (years),3.943
UGA,2001,21.06,Expected Years of Schooling (years),8.968
UGA,2001,21.06,Gross National Income Per Capita (2017 PPP$),1228.919
UGA,2001,21.06,Human Development Index (value),0.402
UGA,2001,21.06,Life Expectancy at Birth (years),49.006
UGA,2001,21.06,Mean Years of Schooling (years),4.02
UGA,2002,20.48,Expected Years of Schooling (years),9.525
UGA,2002,20.48,Gross National Income Per Capita (2017 PPP$),1307.932
UGA,2002,20.48,Human Development Index (value),0.414
UGA,2002,20.48,Life Expectancy at Birth (years),49.648
UGA,2002,20.48,Mean Years of Schooling (years),4.097
UGA,2003,20.38,Expected Years of Schooling (years),10.083
UGA,2003,20.38,Gross National Income Per Capita (2017 PPP$),1351.109
UGA,2003,20.38,Human Development Index (value),0.427
UGA,2003,20.38,Life Expectancy at Birth (years),50.368
UGA,2003,20.38,Mean Years of Schooling (years),4.272
UGA,2004,20.52,Expected Years of Schooling (years),10.64
UGA,2004,20.52,Gross National Income Per Capita (2017 PPP$),1392.235
UGA,2004,20.52,Human Development Index (value),0.441
UGA,2004,20.52,Life Expectancy at Birth (years),51.547
UGA,2004,20.52,Mean Years of Schooling (years),4.448
UGA,2005,20.84,Expected Years of Schooling (years),10.609
UGA,2005,20.84,Gross National Income Per Capita (2017 PPP$),1434.7
UGA,2005,20.84,Human Development Index (value),0.451
UGA,2005,20.84,Life Expectancy at Birth (years),52.976
UGA,2005,20.84,Mean Years of Schooling (years),4.624
UGA,2006,20.15,Expected Years of Schooling (years),10.578
UGA,2006,20.15,Gross National Income Per Capita (2017 PPP$),1550.62
UGA,2006,20.15,Human Development Index (value),0.463
UGA,2006,20.15,Life Expectancy at Birth (years),54.369
UGA,2006,20.15,Mean Years of Schooling (years),4.799
UGA,2007,17.68,Expected Years of Schooling (years),10.642
UGA,2007,17.68,Gross National Income Per Capita (2017 PPP$),1641.293
UGA,2007,17.68,Human Development Index (value),0.473
UGA,2007,17.68,Life Expectancy at Birth (years),55.236
UGA,2007,17.68,Mean Years of Schooling (years),4.975
UGA,2008,16.07,Expected Years of Schooling (years),10.705
UGA,2008,16.07,Gross National Income Per Capita (2017 PPP$),1734.919
UGA,2008,16.07,Human Development Index (value),0.481
UGA,2008,16.07,Life Expectancy at Birth (years),55.823
UGA,2008,16.07,Mean Years of Schooling (years),5.151
UGA,2009,15.48,Expected Years of Schooling (years),10.769
UGA,2009,15.48,Gross National Income Per Capita (2017 PPP$),1802.728
UGA,2009,15.48,Human Development Index (value),0.491
UGA,2009,15.48,Life Expectancy at Birth (years),56.488
UGA,2009,15.48,Mean Years of Schooling (years),5.522
UGA,2010,14.64,Expected Years of Schooling (years),10.833
UGA,2010,14.64,Gross National Income Per Capita (2017 PPP$),1848.499
UGA,2010,14.64,Human Development Index (value),0.5
UGA,2010,14.64,Life Expectancy at Birth (years),57.055
UGA,2010,14.64,Mean Years of Schooling (years),5.893
UGA,2011,14.47,Expected Years of Schooling (years),10.897
UGA,2011,14.47,Gross National Income Per Capita (2017 PPP$),1966.576
UGA,2011,14.47,Human Development Index (value),0.504
UGA,2011,14.47,Life Expectancy at Birth (years),57.965
UGA,2011,14.47,Mean Years of Schooling (years),5.509
UGA,2012,13.23,Expected Years of Schooling (years),10.962
UGA,2012,13.23,Gross National Income Per Capita (2017 PPP$),1972.375
UGA,2012,13.23,Human Development Index (value),0.504
UGA,2012,13.23,Life Expectancy at Birth (years),58.817
UGA,2012,13.23,Mean Years of Schooling (years),5.125
UGA,2013,12.38,Expected Years of Schooling (years),11.027
UGA,2013,12.38,Gross National Income Per Capita (2017 PPP$),1983.415
UGA,2013,12.38,Human Development Index (value),0.511
UGA,2013,12.38,Life Expectancy at Birth (years),59.763
UGA,2013,12.38,Mean Years of Schooling (years),5.316
UGA,2014,11.4,Expected Years of Schooling (years),11.093
UGA,2014,11.4,Gross National Income Per Capita (2017 PPP$),2020.237
UGA,2014,11.4,Human Development Index (value),0.518
UGA,2014,11.4,Life Expectancy at Birth (years),60.408
UGA,2014,11.4,Mean Years of Schooling (years),5.508
UGA,2015,11.04,Expected Years of Schooling (years),11.159
UGA,2015,11.04,Gross National Income Per Capita (2017 PPP$),2068.872
UGA,2015,11.04,Human Development Index (value),0.525
UGA,2015,11.04,Life Expectancy at Birth (years),61.086
UGA,2015,11.04,Mean Years of Schooling (years),5.699
UGA,2016,11.06,Expected Years of Schooling (years),11.226
UGA,2016,11.06,Gross National Income Per Capita (2017 PPP$),2099.456
UGA,2016,11.06,Human Development Index (value),0.531
UGA,2016,11.06,Life Expectancy at Birth (years),61.648
UGA,2016,11.06,Mean Years of Schooling (years),5.89
UGA,2017,10.34,Expected Years of Schooling (years),11.292
UGA,2017,10.34,Gross National Income Per Capita (2017 PPP$),2078.315
UGA,2017,10.34,Human Development Index (value),0.534
UGA,2017,10.34,Life Expectancy at Birth (years),62.115
UGA,2017,10.34,Mean Years of Schooling (years),5.974
UGA,2018,10.25,Expected Years of Schooling (years),11.36
UGA,2018,10.25,Gross National Income Per Capita (2017 PPP$),2124.422
UGA,2018,10.25,Human Development Index (value),0.539
UGA,2018,10.25,Life Expectancy at Birth (years),62.714
UGA,2018,10.25,Mean Years of Schooling (years),6.06
UGA,2019,10.45,Expected Years of Schooling (years),11.427
UGA,2019,10.45,Gross National Income Per Capita (2017 PPP$),2190.261
UGA,2019,10.45,Human Development Index (value),0.544
UGA,2019,10.45,Life Expectancy at Birth (years),62.991
UGA,2019,10.45,Mean Years of Schooling (years),6.147
UKR,2000,33.48,Expected Years of Schooling (years),12.799
UKR,2000,33.48,Gross National Income Per Capita (2017 PPP$),7100.425
UKR,2000,33.48,Human Development Index (value),0.698
UKR,2000,33.48,Life Expectancy at Birth (years),67.856
UKR,2000,33.48,Mean Years of Schooling (years),10.839
UKR,2001,31.21,Expected Years of Schooling (years),13.548
UKR,2001,31.21,Gross National Income Per Capita (2017 PPP$),7902.809
UKR,2001,31.21,Human Development Index (value),0.713
UKR,2001,31.21,Life Expectancy at Birth (years),68.181
UKR,2001,31.21,Mean Years of Schooling (years),10.937
UKR,2002,30.55,Expected Years of Schooling (years),13.916
UKR,2002,30.55,Gross National Income Per Capita (2017 PPP$),8408.251
UKR,2002,30.55,Human Development Index (value),0.721
UKR,2002,30.55,Life Expectancy at Birth (years),68.173
UKR,2002,30.55,Mean Years of Schooling (years),11.034
UKR,2003,28.96,Expected Years of Schooling (years),14.272
UKR,2003,28.96,Gross National Income Per Capita (2017 PPP$),9293.322
UKR,2003,28.96,Human Development Index (value),0.73
UKR,2003,28.96,Life Expectancy at Birth (years),68.209
UKR,2003,28.96,Mean Years of Schooling (years),11.131
UKR,2004,28.37,Expected Years of Schooling (years),14.254
UKR,2004,28.37,Gross National Income Per Capita (2017 PPP$),10487.59
UKR,2004,28.37,Human Development Index (value),0.739
UKR,2004,28.37,Life Expectancy at Birth (years),68.402
UKR,2004,28.37,Mean Years of Schooling (years),11.229
UKR,2005,28.27,Expected Years of Schooling (years),14.52
UKR,2005,28.27,Gross National Income Per Capita (2017 PPP$),10857.585
UKR,2005,28.27,Human Development Index (value),0.743
UKR,2005,28.27,Life Expectancy at Birth (years),68.151
UKR,2005,28.27,Mean Years of Schooling (years),11.326
UKR,2006,25.6,Expected Years of Schooling (years),14.722
UKR,2006,25.6,Gross National Income Per Capita (2017 PPP$),11674.101
UKR,2006,25.6,Human Development Index (value),0.752
UKR,2006,25.6,Life Expectancy at Birth (years),68.741
UKR,2006,25.6,Mean Years of Schooling (years),11.363
UKR,2007,26.37,Expected Years of Schooling (years),14.907
UKR,2007,26.37,Gross National Income Per Capita (2017 PPP$),12768.994
UKR,2007,26.37,Human Development Index (value),0.759
UKR,2007,26.37,Life Expectancy at Birth (years),68.766
UKR,2007,26.37,Mean Years of Schooling (years),11.399
UKR,2008,25.9,Expected Years of Schooling (years),15.04
UKR,2008,25.9,Gross National Income Per Capita (2017 PPP$),13015.596
UKR,2008,25.9,Human Development Index (value),0.763
UKR,2008,25.9,Life Expectancy at Birth (years),69.117
UKR,2008,25.9,Mean Years of Schooling (years),11.436
UKR,2009,21.81,Expected Years of Schooling (years),15.072
UKR,2009,21.81,Gross National Income Per Capita (2017 PPP$),11099.325
UKR,2009,21.81,Human Development Index (value),0.761
UKR,2009,21.81,Life Expectancy at Birth (years),70.247
UKR,2009,21.81,Mean Years of Schooling (years),11.472
UKR,2010,20.17,Expected Years of Schooling (years),15.06
UKR,2010,20.17,Gross National Income Per Capita (2017 PPP$),11795.401
UKR,2010,20.17,Human Development Index (value),0.766
UKR,2010,20.17,Life Expectancy at Birth (years),70.621
UKR,2010,20.17,Mean Years of Schooling (years),11.509
UKR,2011,18.95,Expected Years of Schooling (years),15.036
UKR,2011,18.95,Gross National Income Per Capita (2017 PPP$),12320.171
UKR,2011,18.95,Human Development Index (value),0.772
UKR,2011,18.95,Life Expectancy at Birth (years),71.387
UKR,2011,18.95,Mean Years of Schooling (years),11.44
UKR,2012,19.02,Expected Years of Schooling (years),15.059
UKR,2012,19.02,Gross National Income Per Capita (2017 PPP$),12839.41
UKR,2012,19.02,Human Development Index (value),0.774
UKR,2012,19.02,Life Expectancy at Birth (years),71.627
UKR,2012,19.02,Mean Years of Schooling (years),11.371
UKR,2013,18.66,Expected Years of Schooling (years),14.928
UKR,2013,18.66,Gross National Income Per Capita (2017 PPP$),12824.773
UKR,2013,18.66,Human Development Index (value),0.774
UKR,2013,18.66,Life Expectancy at Birth (years),71.862
UKR,2013,18.66,Mean Years of Schooling (years),11.302
UKR,2014,20.39,Expected Years of Schooling (years),14.93
UKR,2014,20.39,Gross National Income Per Capita (2017 PPP$),12237.292
UKR,2014,20.39,Human Development Index (value),0.774
UKR,2014,20.39,Life Expectancy at Birth (years),72.591
UKR,2014,20.39,Mean Years of Schooling (years),11.233
UKR,2015,17.87,Expected Years of Schooling (years),13.771
UKR,2015,17.87,Gross National Income Per Capita (2017 PPP$),11671.553
UKR,2015,17.87,Human Development Index (value),0.764
UKR,2015,17.87,Life Expectancy at Birth (years),73.458
UKR,2015,17.87,Mean Years of Schooling (years),11.164
UKR,2016,17.56,Expected Years of Schooling (years),13.636
UKR,2016,17.56,Gross National Income Per Capita (2017 PPP$),11649.481
UKR,2016,17.56,Human Development Index (value),0.767
UKR,2016,17.56,Life Expectancy at Birth (years),74.312
UKR,2016,17.56,Mean Years of Schooling (years),11.156
UKR,2017,16.94,Expected Years of Schooling (years),13.676
UKR,2017,16.94,Gross National Income Per Capita (2017 PPP$),12032.755
UKR,2017,16.94,Human Development Index (value),0.771
UKR,2017,16.94,Life Expectancy at Birth (years),74.718
UKR,2017,16.94,Mean Years of Schooling (years),11.148
UKR,2018,17.99,Expected Years of Schooling (years),13.643
UKR,2018,17.99,Gross National Income Per Capita (2017 PPP$),12455.67
UKR,2018,17.99,Human Development Index (value),0.771
UKR,2018,17.99,Life Expectancy at Birth (years),74.412
UKR,2018,17.99,Mean Years of Schooling (years),11.14
UKR,2019,17.73,Expected Years of Schooling (years),13.712
UKR,2019,17.73,Gross National Income Per Capita (2017 PPP$),12964.437
UKR,2019,17.73,Human Development Index (value),0.774
UKR,2019,17.73,Life Expectancy at Birth (years),74.536
UKR,2019,17.73,Mean Years of Schooling (years),11.131
URY,2000,14.5,Expected Years of Schooling (years),14.167
URY,2000,14.5,Gross National Income Per Capita (2017 PPP$),14723.675
URY,2000,14.5,Human Development Index (value),0.754
URY,2000,14.5,Life Expectancy at Birth (years),75.025
URY,2000,14.5,Mean Years of Schooling (years),8.314
URY,2001,13.23,Expected Years of Schooling (years),14.681
URY,2001,13.23,Gross National Income Per Capita (2017 PPP$),14115.352
URY,2001,13.23,Human Development Index (value),0.761
URY,2001,13.23,Life Expectancy at Birth (years),75.285
URY,2001,13.23,Mean Years of Schooling (years),8.526
URY,2002,17.9,Expected Years of Schooling (years),15.135
URY,2002,17.9,Gross National Income Per Capita (2017 PPP$),13112.058
URY,2002,17.9,Human Development Index (value),0.765
URY,2002,17.9,Life Expectancy at Birth (years),75.54
URY,2002,17.9,Mean Years of Schooling (years),8.738
URY,2003,14.16,Expected Years of Schooling (years),15.546
URY,2003,14.16,Gross National Income Per Capita (2017 PPP$),12630.574
URY,2003,14.16,Human Development Index (value),0.771
URY,2003,14.16,Life Expectancy at Birth (years),75.785
URY,2003,14.16,Mean Years of Schooling (years),8.949
URY,2004,13.87,Expected Years of Schooling (years),15.488
URY,2004,13.87,Gross National Income Per Capita (2017 PPP$),13218.259
URY,2004,13.87,Human Development Index (value),0.77
URY,2004,13.87,Life Expectancy at Birth (years),76.007
URY,2004,13.87,Mean Years of Schooling (years),8.631
URY,2005,13.26,Expected Years of Schooling (years),15.11
URY,2005,13.26,Gross National Income Per Capita (2017 PPP$),14395.731
URY,2005,13.26,Human Development Index (value),0.768
URY,2005,13.26,Life Expectancy at Birth (years),76.194
URY,2005,13.26,Mean Years of Schooling (years),8.313
URY,2006,13.79,Expected Years of Schooling (years),15.161
URY,2006,13.79,Gross National Income Per Capita (2017 PPP$),15060.477
URY,2006,13.79,Human Development Index (value),0.767
URY,2006,13.79,Life Expectancy at Birth (years),76.362
URY,2006,13.79,Mean Years of Schooling (years),7.995
URY,2007,15.79,Expected Years of Schooling (years),14.79
URY,2007,15.79,Gross National Income Per Capita (2017 PPP$),16017.986
URY,2007,15.79,Human Development Index (value),0.769
URY,2007,15.79,Life Expectancy at Birth (years),76.498
URY,2007,15.79,Mean Years of Schooling (years),8.184
URY,2008,13.51,Expected Years of Schooling (years),14.539
URY,2008,13.51,Gross National Income Per Capita (2017 PPP$),17007.51
URY,2008,13.51,Human Development Index (value),0.773
URY,2008,13.51,Life Expectancy at Birth (years),76.623
URY,2008,13.51,Mean Years of Schooling (years),8.372
URY,2009,13.37,Expected Years of Schooling (years),14.599
URY,2009,13.37,Gross National Income Per Capita (2017 PPP$),17637.013
URY,2009,13.37,Human Development Index (value),0.776
URY,2009,13.37,Life Expectancy at Birth (years),76.738
URY,2009,13.37,Mean Years of Schooling (years),8.372
URY,2010,14.26,Expected Years of Schooling (years),15.152
URY,2010,14.26,Gross National Income Per Capita (2017 PPP$),18877.614
URY,2010,14.26,Human Development Index (value),0.785
URY,2010,14.26,Life Expectancy at Birth (years),76.858
URY,2010,14.26,Mean Years of Schooling (years),8.327
URY,2011,15.02,Expected Years of Schooling (years),15.373
URY,2011,15.02,Gross National Income Per Capita (2017 PPP$),19861.981
URY,2011,15.02,Human Development Index (value),0.791
URY,2011,15.02,Life Expectancy at Birth (years),76.983
URY,2011,15.02,Mean Years of Schooling (years),8.404
URY,2012,16.1,Expected Years of Schooling (years),15.498
URY,2012,16.1,Gross National Income Per Capita (2017 PPP$),19717.388
URY,2012,16.1,Human Development Index (value),0.794
